5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.8771,19.5069,19.5069,19.5069,3,19.5069,0.0000,1.000000,19.50692,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.9683,20.0692,20.0692,20.0692,3,20.0692,0.0000,1.000000,20.06920,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.2682,3.0277,3.0277,,2,3.0277,0.0000,1.000000,3.02768,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.3408,5.1903,5.1903,,2,5.1903,0.0000,1.000000,5.19031,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.4153,7.9585,7.9585,,2,7.9585,0.0000,1.000000,7.95848,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.5568,11.8945,11.8945,11.8945,3,11.8945,0.0000,1.000000,11.89446,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.6257,13.2353,13.2353,13.2353,3,13.2353,0.0000,1.000000,13.23529,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.7020,14.4464,14.4464,14.4464,3,14.4464,0.0000,1.000000,14.44637,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.7728,15.3979,15.3979,15.3979,3,15.3979,0.0000,1.000000,15.39792,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.8436,16.1332,16.1332,,2,16.1332,0.0000,1.000000,16.13322,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.85e-3,9000,0.9311,16.6955,16.6955,16.7388,3,16.6955,0.0216,1.000000,16.69550,0.02163,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.1993,1.2111,1.2111,,2,1.2111,0.0000,1.000000,1.21107,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.2719,2.2491,2.2491,2.2491,3,2.2491,0.0000,1.000000,2.24913,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.3464,3.4602,3.4602,3.4602,3,3.4602,0.0000,1.000000,3.46021,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.4246,5.0173,5.0173,5.0173,3,5.0173,0.0000,1.000000,5.01730,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.5009,6.8339,6.8339,6.8339,3,6.8339,0.0000,1.000000,6.83391,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.5791,8.6073,8.6073,8.6073,3,8.6073,0.0000,1.000000,8.60727,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.6480,10.2076,10.2076,10.2076,3,10.2076,0.0000,1.000000,10.20761,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.7207,11.6349,11.6349,11.6349,3,11.6349,0.0000,1.000000,11.63495,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.7877,12.8893,12.8893,12.8893,3,12.8893,0.0000,1.000000,12.88927,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.8566,14.0138,14.0138,14.0138,3,14.0138,0.0000,1.000000,14.01384,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.13e-3,9000,0.9255,14.9221,14.9221,14.9221,3,14.9221,0.0000,1.000000,14.92215,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.1993,0.6488,0.6488,0.6488,3,0.6488,0.0000,1.000000,0.64879,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.2719,1.1678,1.1678,1.1678,3,1.1678,0.0000,1.000000,1.16782,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.3482,1.7734,1.7734,1.7734,3,1.7734,0.0000,1.000000,1.77336,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.4264,2.8547,2.8547,2.8547,3,2.8547,0.0000,1.000000,2.85467,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.5084,4.5848,4.5848,,2,4.5848,0.0000,1.000000,4.58478,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.5903,6.0121,6.0121,6.0121,3,6.0121,0.0000,1.000000,6.01211,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.6723,7.4827,7.4827,7.4827,3,7.4827,0.0000,1.000000,7.48270,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.7505,8.8668,8.8668,8.8668,3,8.8668,0.0000,1.000000,8.86678,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.8231,10.1644,10.1644,10.1644,3,10.1644,0.0000,1.000000,10.16436,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.8939,11.3754,11.3754,11.3754,3,11.3754,0.0000,1.000000,11.37543,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,1.41e-3,9000,0.9590,12.2837,12.2837,12.2837,3,12.2837,0.0000,1.000000,12.28374,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.2048,3.4483,3.4483,,2,3.4483,0.0000,0.041942,0.14463,0.00000,0.00434,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.2731,6.4483,6.5000,6.5000,3,6.5000,0.0259,0.074563,0.48466,0.00193,0.00771,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.3413,7.0172,7.0172,7.0172,3,7.0172,0.0000,0.116505,0.81754,0.00000,0.01205,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.4114,6.7069,6.7069,,2,6.7069,0.0000,0.169282,1.13536,0.00000,0.01751,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.4815,6.2414,6.2931,6.2931,3,6.2931,0.0259,0.231890,1.45931,0.00600,0.02399,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.5554,6.0345,6.0345,6.0345,3,6.0345,0.0000,0.308414,1.86112,0.00000,0.03190,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.6310,5.9828,5.9828,5.9828,3,5.9828,0.0000,0.398156,2.38207,0.00000,0.04119,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.7085,6.0345,6.0345,6.0345,3,6.0345,0.0000,0.501954,3.02903,0.00000,0.05193,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.7897,6.0862,6.0862,6.0862,3,6.0862,0.0000,0.623575,3.79521,0.00000,0.06451,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.8764,6.2931,6.2931,6.2931,3,6.2931,0.0000,0.768049,4.83341,0.00000,0.07945,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.56e-3,9000,0.9668,6.5517,6.5517,6.5517,3,6.5517,0.0000,0.934682,6.12378,0.00000,0.09669,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.0978,-8.5000,-8.5000,,2,-8.5000,0.0000,0.009562,-0.08128,0.00000,0.00099,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.2749,5.4655,5.4655,,2,5.4655,0.0000,0.075574,0.41305,0.00000,0.00782,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.3450,8.4655,8.4655,,2,8.4655,0.0000,0.119038,1.00772,0.00000,0.01231,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.4188,10.4310,10.4310,,2,10.4310,0.0000,0.175410,1.82970,0.00000,0.01815,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.4908,11.4655,11.4655,,2,11.4655,0.0000,0.240860,2.76158,0.00000,0.02492,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.5590,11.3103,11.3103,11.3103,3,11.3103,0.0000,0.312526,3.53478,0.00000,0.03233,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.6292,11.4655,11.5172,,2,11.5172,0.0259,0.395831,4.55889,0.01024,0.04095,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.7030,10.7414,10.7414,10.7414,3,10.7414,0.0000,0.494142,5.30776,0.00000,0.05112,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.7731,10.6379,10.6379,10.6379,3,10.6379,0.0000,0.597626,6.35750,0.00000,0.06182,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.8450,10.2241,10.2241,10.2241,3,10.2241,0.0000,0.714056,7.30061,0.00000,0.07387,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,0.85e-3,9000,0.9299,9.6034,9.6034,9.6034,3,9.6034,0.0000,0.864694,8.30405,0.00000,0.08945,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.2786,3.3966,3.3966,,2,3.3966,0.0000,0.077617,0.26363,0.00000,0.00803,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.4299,8.3621,8.3103,,2,8.3621,0.0259,0.184805,1.54535,0.00478,0.01912,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.5055,10.6379,10.5862,10.5862,3,10.5862,0.0259,0.255566,2.70547,0.00661,0.02644,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.6513,13.1207,13.1207,13.1207,3,13.1207,0.0000,0.424181,5.56554,0.00000,0.04388,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.7214,14.1552,14.1552,14.2069,3,14.1552,0.0259,0.520421,7.36665,0.01346,0.05384,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.7878,14.2069,14.2069,14.2069,3,14.2069,0.0000,0.620665,8.81772,0.00000,0.06421,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.8561,13.5345,13.5345,13.5345,3,13.5345,0.0000,0.732888,9.91925,0.00000,0.07582,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.6,a,thrust_coefficient,-,1.13e-3,9000,0.9244,13.3276,13.3276,13.3276,3,13.3276,0.0000,0.854431,11.38750,0.00000,0.08839,143,776d182e6bc4f6b232ba1248ba334ac04d04a182e06fb5ea496ac76b35ddb63c,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
